lr,train/loss,train/color_loss,train/normal_loss,train/mask_error,train/psnr,train/s_val,epoch,created_at,val/loss,val/psnr
5.00E-05,0.82355243,0.633894145,0.001127488,0.188530803,11.513937,0.050061312,0,43:53.2,,
5.00E-05,0.750403285,0.563192606,0.000822298,0.186388373,12.76318073,0.050349496,0,44:15.8,,
5.00E-05,0.698437214,0.522395015,0.001327992,0.174714193,13.42108917,0.051795401,0,44:38.3,,
5.00E-05,0.707785964,0.535774231,0.00160826,0.17040351,13.31275368,0.052531879,0,45:00.9,,
5.00E-05,0.684549332,0.521147132,0.00201445,0.161387771,13.49427414,0.052567329,0,45:23.5,,
5.00E-05,0.650314212,0.485759556,0.004183121,0.160371527,13.91334438,0.052463587,0,45:46.1,,
5.00E-05,0.637395144,0.476845264,0.002594523,0.157955363,13.7677784,0.052664351,0,46:08.7,,
5.00E-05,0.60142076,0.439111233,0.002263431,0.160046086,14.44068432,0.05261698,0,46:31.3,,
5.00E-05,0.568480968,0.411311537,0.002157222,0.15501225,14.91149044,0.052425664,0,46:53.9,,
5.00E-05,0.559731543,0.400342166,0.002240248,0.157149121,15.16958618,0.052227702,0,47:16.5,,
5.00E-05,0.543130219,0.379737079,0.002188359,0.1612048,15.60500526,0.052010383,0,47:39.0,,
5.00E-05,0.509892702,0.359802008,0.002545667,0.147545055,15.78931999,0.051832892,0,48:01.6,,
5.00E-05,0.517136216,0.35476017,0.002373186,0.160002872,15.85015774,0.051669691,0,48:24.2,,
5.00E-05,0.501151443,0.338773221,0.002576596,0.159801617,16.17639732,0.051581401,0,48:46.8,,
5.00E-05,0.481296837,0.318282574,0.002754719,0.160259545,16.78530121,0.051528923,0,49:09.4,,
5.00E-05,0.460091084,0.303496569,0.002695303,0.153899223,16.95251274,0.051455215,0,49:31.9,,
5.00E-05,0.452907145,0.299727231,0.00296411,0.150215819,16.93331909,0.051391061,0,49:54.6,,
5.00E-05,0.451510936,0.287458837,0.00297659,0.161075503,17.34134483,0.051407073,0,50:17.1,,
5.00E-05,0.434446692,0.27676481,0.002996598,0.154685274,17.35942078,0.051446114,0,50:39.8,,
5.00E-05,0.435244143,0.273345917,0.00285309,0.159045145,17.52451706,0.05137815,0,51:02.4,,
5.00E-05,0.424132138,0.266275525,0.0028984,0.154958218,17.55352592,0.051377047,0,51:25.1,,
5.00E-05,0.420331866,0.26841712,0.002873768,0.149040967,17.59036636,0.05140803,0,51:47.7,,
5.00E-05,0.432492673,0.267448217,0.002918417,0.162126049,17.63433647,0.051414546,0,52:10.3,,
5.00E-05,0.42817688,0.266464293,0.002996891,0.15871571,17.54581261,0.051447399,0,52:32.9,,
