lr,train/loss,train/color_loss,train/normal_loss,train/mask_error,train/sfm_depth_loss,train/psnr,train/s_val,epoch,created_at,val/loss,val/psnr
2.50E-05,1.227445483,0.923367739,1.98E-05,0.126300484,0.177757517,8.649111748,0.050410029,0,52:20.9,,
2.50E-05,0.989007592,0.815111995,4.34E-05,0.135408551,0.038443681,9.694313049,0.050731011,0,52:33.5,,
2.50E-05,0.843635917,0.683429778,4.27E-05,0.126359999,0.033803478,11.3427124,0.050937474,0,52:46.2,,
2.50E-05,0.762269974,0.560363591,2.71E-05,0.173774123,0.028105116,12.72319031,0.051308826,0,52:58.7,,
2.50E-05,0.679065406,0.471449524,2.54E-05,0.166939124,0.040651318,13.87820244,0.051898852,0,53:11.2,,
2.50E-05,0.66981262,0.4747307,3.79E-05,0.150291368,0.044752672,13.79404259,0.052406486,0,53:23.7,,
2.50E-05,0.632305145,0.449859828,4.89E-05,0.14138563,0.041010793,14.21905518,0.052871801,0,53:36.3,,
2.50E-05,0.663857341,0.45652619,4.40E-05,0.134548262,0.072738908,14.08600426,0.053335901,0,53:48.8,,
2.50E-05,0.677477658,0.473109126,3.77E-05,0.141415477,0.062915348,13.6023407,0.053762663,0,54:01.3,,
2.50E-05,0.619040728,0.44951874,3.56E-05,0.1360071,0.033479273,14.07085037,0.054154865,0,54:13.9,,
2.50E-05,0.594654202,0.434436023,3.09E-05,0.11970409,0.040483177,14.46547985,0.054533239,0,54:26.5,,
2.50E-05,0.564208388,0.420183212,2.56E-05,0.097184643,0.046814904,14.63183403,0.054838434,0,54:39.2,,
2.50E-05,0.53931576,0.414977998,2.35E-05,0.094424859,0.02988942,14.80459213,0.055082951,0,54:51.8,,
2.50E-05,0.550874233,0.426001221,2.18E-05,0.07816875,0.046682458,14.36803627,0.055383533,0,55:04.3,,
2.50E-05,0.511675596,0.403866619,1.93E-05,0.064030372,0.043759324,14.78270149,0.055653904,0,55:16.9,,
2.50E-05,0.497245371,0.407944679,2.06E-05,0.05773605,0.031544048,14.88180065,0.055800501,0,55:29.4,,
2.50E-05,0.499031395,0.407304734,2.24E-05,0.052293479,0.039410811,14.74278545,0.055891253,0,55:42.0,,
2.50E-05,0.51688844,0.412997305,2.36E-05,0.054547377,0.049320173,14.67486858,0.055955131,0,55:54.6,,
2.50E-05,0.524616778,0.424202263,2.62E-05,0.058177847,0.042210389,14.42039108,0.055991761,0,56:07.1,,
2.50E-05,0.52278918,0.397884101,2.72E-05,0.052403659,0.072474167,14.87129784,0.056029353,0,56:20.1,,
2.50E-05,0.492721617,0.3902134,3.21E-05,0.055163141,0.047312971,15.03669739,0.056048296,0,56:32.7,,
2.50E-05,0.480445921,0.382215559,3.35E-05,0.048802715,0.049394153,15.34949207,0.05603591,0,56:45.2,,
2.50E-05,0.481461853,0.379226476,3.40E-05,0.042389054,0.059812266,15.18173027,0.056021929,0,56:57.7,,
2.50E-05,0.459390342,0.363865048,3.99E-05,0.047891986,0.047593471,15.51906013,0.056028277,0,57:10.2,,
2.50E-05,0.46743992,0.363196135,3.99E-05,0.051728863,0.052474972,15.58474541,0.056050174,0,57:22.9,,
2.50E-05,0.472025126,0.352312803,4.59E-05,0.058704358,0.060962092,15.79281616,0.056063078,0,57:35.4,,
2.50E-05,0.465750337,0.34238556,5.21E-05,0.046596009,0.076716624,16.17871284,0.056113571,0,57:48.0,,
2.50E-05,0.453287423,0.356730819,5.14E-05,0.048863064,0.047642097,15.70258999,0.056146506,0,58:00.5,,
2.50E-05,0.452462465,0.362635612,5.63E-05,0.045739003,0.044031564,15.53261662,0.056152839,0,58:13.1,,
2.50E-05,0.432698548,0.344964325,6.81E-05,0.045450497,0.042215616,16.02116585,0.056158025,0,58:25.6,,
2.50E-05,0.414607823,0.358467698,6.60E-05,0.036131509,0.019942641,15.6463728,0.05619061,0,58:38.3,,
2.50E-05,0.44659093,0.352266371,7.23E-05,0.043901216,0.050351053,15.77148628,0.056206282,0,58:50.8,,
2.50E-05,0.432476133,0.363544762,8.11E-05,0.049469706,0.019380549,15.41993523,0.056246553,0,59:03.3,,
2.50E-05,0.430456638,0.342672974,8.83E-05,0.045266181,0.042429142,16.02223587,0.056262583,0,59:15.9,,
2.50E-05,0.411345214,0.336375117,9.67E-05,0.043208905,0.031664487,16.22881317,0.056234714,0,59:28.5,,
2.50E-05,0.409543157,0.327972591,9.21E-05,0.044448208,0.037030242,16.56992722,0.056245465,0,59:41.1,,
